ID,FILE,NAME,NAME_ZH,DESC,DESC_ZH
39a27c1274a66a2f059e166afed75177,[BIOS] Atari Jaguar (World).zip,ZZZ(notgame):[bios] Atari Jaguar,ZZZ（非游戏）：[BIOS] 雅达利捷豹,,
b10397a0b58ac518a1bac91033062b17,Aircars (USA) (Beta) (1994-11-14).zip,Air Cars,空中汽车,"AirCars takes place in the future after a nuclear holocaust. 
The large organization E.B.N.E.R.S. is plotting to take over the world and has developed advanced forcefield and teleportation systems, and nuclear powered AirCars. To stop the plot, your group steals plans, builds its own AirCar, and sets out to destroy all of the bases, 28 known and countless unknown ones, stationed around the globe.
You can choose to play a single player game, the 2-player game using a JagLink, or up to 8 players using ICD's CatBoxes. On screen and on radar, each player's AirCar is displayed in a different color to help identify the good guys from the bad guys. There are 3 difficulty settings. You will be using the cockpit's instrument panel to fly the AirCar, select weapons and view radar, as well as combating the enemy in the air and shooting ground targets.
Features include true 3D sound, a computer voice (which can be turned off if desired), and music during the introduction and level intermissions.","《空中汽车》的故事发生在核浩劫后的未来。
大型组织 E.B.N.E.R.S. 正密谋接管世界，他们研发了先进的力场和传送系统，以及核动力的空中汽车。为了阻止这一阴谋，你的团队窃取了设计图，制造了自己的空中汽车，并出发去摧毁全球各地的所有基地，已知的有 28 个，还有无数未知的基地。
你可以选择单人游戏，使用 JagLink 进行双人游戏，或者使用 ICD 的 CatBoxes 进行最多 8 人的多人游戏。在屏幕和雷达上，每个玩家的空中汽车都以不同颜色显示，以便区分敌我。游戏有 3 种难度设置。你将通过驾驶舱的仪表盘来操控空中汽车飞行、选择武器和查看雷达，同时在空中与敌人战斗并射击地面目标。
游戏特色包括逼真的 3D 音效、电脑语音（可按需关闭），以及在游戏开场和关卡间隙播放的音乐。"
2bb73421eee328b645da69b42a4acba8,Alien vs Predator (World) (Beta) (1993-08-18).zip,Aliens Versus Predator,异形大战铁血战士,"Aliens versus Predator is a first-person shooter on Jaguar. It offers to play as a Marine, an Alien or a Predator, each race having its own strengths and weaknesses. The three campaigns take place on a space colony of marines beset by aliens, and on which a Predator ship has discreetly landed to try to kill the alien queen!",《异形大战铁血战士》是一款适用于捷豹主机的第一人称射击游戏。玩家可以选择扮演陆战队士兵、异形或铁血战士，每个种族都有其自身的优势和劣势。三个战役的故事背景设定在一个被异形围困的陆战队太空殖民地，一艘铁血战士飞船悄然降落在此，试图杀死异形女王！
726dd55f02fa21897f9088a2eda0034b,Atari Karts (World) (Beta).zip,Atari Karts,雅达利卡丁车,"Atari Karts is a character-based go-kart racing game. It plays very similarly to Super Mario Kart. The emphasis in this game, like most kart games, is on making use of pick-up items found around the track to knock out your opponents.
There is only one game mode, a points based cup series.  There are four difficulty levels, each with 3 cups to race for. After completing all the cups for a difficulty level, you get to challenge a ""boss"" kart in a single race match.  If you beat the boss, he becomes a playable character.  The various cup races can be played in either single player or two player split screen modes.","《雅达利卡丁车》是一款以角色为基础的卡丁车赛车游戏。它的玩法与《超级马里奥卡丁车》非常相似。和大多数卡丁车游戏一样，这款游戏的重点在于利用赛道周围捡到的道具来击败对手。
游戏只有一种模式，即基于积分的杯赛系列。有四个难度级别，每个级别有三场杯赛可供角逐。完成一个难度级别的所有杯赛后，你将在一场单人比赛中挑战一辆“BOSS”卡丁车。如果你击败了BOSS，他就会成为可玩角色。各种杯赛可以单人游玩，也可以双人分屏游玩。"
a8e5dd9df04c17439e736ac91fc90ba7,Attack of the Mutant Penguins (World).zip,Attack of the Mutant Penguins,变异企鹅来袭,"In the distant galaxy of Bleurggh, an evil (but reasonably stupid) band of aliens picked up some of Earth's television signals. Unfortunately for them, they could only tune in a wildlife program. They figured the Earth would be a pushover to invade, so they disguised themselves as its inhabitants -- penguins! Word of the invasion has reached those champions of intergalactic do-goodery, Bernard and Rodney. Now, with their help, you must prevent the alien mutant penguins from triggering the Doomscale and destroying the Earth. Are you up to the challenge?",在遥远的布勒格星系，一群邪恶（但相当愚蠢）的外星人接收到了一些地球的电视信号。不幸的是，他们只能收看到一个野生动物节目。他们认为入侵地球易如反掌，于是把自己伪装成地球的居民——企鹅！入侵的消息传到了星际正义斗士伯纳德和罗德尼耳中。现在，在他们的帮助下，你必须阻止外星变异企鹅触发末日天平并摧毁地球。你能迎接这个挑战吗？
bd4e4d81c8f8f404af9d521f4141efa9,Barkley Shut Up and Jam (USA) (Beta).zip,Barkley Shut Up and Jam!,巴克利，闭嘴去灌篮！,"Barkley Shut Up and Jam! is a basketball video game featuring arcade-style gameplay similar to Midway's NBA Jam but closely following the rules seen in street basketball, players compete with either CPU-controlled opponents or against other players in matches across various cities of the United States.",《巴克利，闭嘴去灌篮！》是一款篮球视频游戏，其游戏玩法为街机风格，与米德韦公司的《NBA灌篮高手》类似，但严格遵循街头篮球规则。玩家可以与电脑控制的对手对战，也可以与其他玩家在美国各个城市的比赛中一决高下。
61929a59b6a4a0d713ae50b2306caf3a,"Breakout 2000 (USA, Europe) (Beta).zip",Breakout 2000,打砖块2000,"Breakout 2000 is the Jaguar update to Atari's classic arcade game, Breakout. The premise in Breakout is to bounce a ball off a paddle into a series of blocks that disappear when struck. While the original Breakout, which is included with this release, has simple rectangles that represent the ball and paddle, Breakout 2000 has flashy pre-rendered 3D graphics.
There are also a couple of gameplay enhancements over basic Breakout.  First, the game can be played with two players.  The second player has their own playfield at the top of the screen.  They also have their own set of blocks to demolish, and can send their ball to the bottom playfield for the other player to hit.  You can set either player to be computer controlled, so you can even watch the computer play against itself if you want.  The other enhancement are the various power-ups that allow you to shoot the blocks out directly, catch the ball, and so on.","《打砖块2000》是雅达利经典街机游戏《打砖块》在美洲豹主机上的升级版。《打砖块》的游戏设定是用挡板反弹球，使其撞击一系列方块，方块被击中后会消失。本次发行版本中包含的原版《打砖块》，其球和挡板仅用简单的矩形表示，而《打砖块2000》则拥有华丽的预渲染3D图形。

与基础版《打砖块》相比，该游戏还有一些玩法上的改进。首先，游戏支持双人游玩。第二名玩家在屏幕顶部有自己的游戏区域。他们也有自己要摧毁的方块，还能将球发送到底部的游戏区域，让另一名玩家击球。你可以将任意一名玩家设置为电脑控制，所以如果你愿意，甚至可以观看电脑之间的对战。另一项改进是各种道具，它们能让你直接射碎方块、接住球等等。"
eb2e970eef0d8bb67a168124c6a7f3c1,Brutal Sports Football (World).zip,Brutal Sports Football,暴力体育足球,"Similar to Speedball 2 in many ways, this is an ultra-violent sports game. Matches last 7 minutes, and the aim is to get the ball into a goal at each end, guarded by a net-minder. The ball can be thrown or kicked, and is an oval, resulting in frequent up-and-under type kicks. 
The gameplay is fast and flowing, and has one rule - if you can't get the ball, get the man, and decapitate him if possible. Bonus and non-bonus items appear on the pitch, such as bombs to throw at opponents, rabbits to speed up the current player, or tortoises to slow him down. 
Teams consist of humans and aliens, many of which have their own unique skills. There's a lot of blood and flailing limbs, giving things a gruesomely humorous edge. There are four leagues to progress through, plus a knockout cup and single matches.","这款游戏在很多方面与《速球2》相似，是一款极度暴力的体育游戏。比赛时长7分钟，目标是将球踢进两端由守门员把守的球门。球可以投掷或踢击，呈椭圆形，因此经常会出现高低起伏的踢球方式。
游戏节奏快速流畅，只有一条规则——如果你抢不到球，就攻击对方球员，如有可能，将其斩首。球场上会出现奖励物品和非奖励物品，比如可以扔向对手的炸弹、能让当前球员加速的兔子，或者会让球员减速的乌龟。
球队由人类和外星人组成，其中许多角色都有自己独特的技能。游戏中有大量的血腥场面和四处飞舞的肢体，营造出一种令人毛骨悚然的幽默氛围。游戏有四个联赛可供玩家逐步挑战，此外还有淘汰赛杯赛和单场比赛。"
a2403220c7368aa29babbe0638862c86,Bubsy in Fractured Furry Tales (World).zip,Bubsy in Fractured Furry Tales,布西的破碎毛球童话,"Only Bubsy can protect the world's kids from these silly stories and tangled-up tales as he leaps and bounds his way through 15 frantic chapters of fabulous furry fun. In Fairytaleland, Bubsy attends a twisted tea party, climbs a giant beanstalk, voyages under the sea (without getting his paws wet), head to Ali Baba's desert and even meets Hansel and Gretel, who should be up on kidnapping charges.",只有布西能保护世界上的孩子们，让他们免受这些荒诞故事和混乱传说的侵扰。他将在15个紧张刺激的章节中尽情跳跃，体验一场精彩绝伦的毛球冒险之旅。在童话世界里，布西会参加一场怪异的茶会，攀爬巨大的豆茎，在海底航行（还不会弄湿他的爪子），前往阿里巴巴所在的沙漠，甚至会遇到汉塞尔和格莱特，这两人可是应该被控绑架罪呢。
3a9108064d27f0d2b24869d5a0271ce2,Burn Out (World) (Demo 1).zip,Super Burnout,超级狂飙,"Super Burnout is an arcade-style superbike racing game inspired by Super Hang-On. Players control an ultra-fast motorcycle through races that take place on famous tracks throughout the world. There are six bikes to choose from with races on a total of eight different tracks. The usual racing game modes are present. There is a single race mode, a practice mode, and a championship mode. Players can also compete against a friend in a single-race versus mode.",《超级狂飙》是一款受《超级摩托》启发的街机风格超级摩托车赛车游戏。玩家操控一辆超快的摩托车，在世界各地著名的赛道上进行比赛。游戏中有六辆摩托车可供选择，比赛将在总共八条不同的赛道上进行。游戏具备常见的赛车游戏模式，有单场比赛模式、练习模式和锦标赛模式。玩家还能在单场对战模式中与朋友一决高下。
