ID,FILE,NAME,NAME_ZH,DESC,DESC_ZH
bd2d1292c4525cad84887c22148e227f,[BIOS] Atari Lynx (World).zip,ZZZ(notgame):[bios] Atari Lynx,ZZZ（非游戏）：[BIOS] 雅达利林克斯,,
0602e67c83c4723b0f0441a0ee5ddcce,"A.P.B. (USA, Europe).zip",A.P.B.,警界先锋,"You are police officer Bob, whose aim is to apprehend a certain quota of criminals (litterbugs, speeders and the like) each day. This is done by chasing them and sounding your siren at them - in some cases they will need ramming off the road.  There are also hardened criminals to catch - if you can get one of these to confess, your day's work is considered done.
The game's action is presented with an overhead view of your squad car. Car upgrades are available, to be brought from your reward money. You earn Demerits by crashing, wrongly arresting innocents, or failing to meet your quota. Too many demerits and it is game over.","你是警官鲍勃，你的目标是每天逮捕一定数量的罪犯（乱扔垃圾者、超速驾驶者等等）。这需要通过追逐他们并向他们鸣响警笛来实现——在某些情况下，你需要将他们撞下路。此外，还有顽固的罪犯需要抓捕——如果你能让其中一个认罪，那么你当天的工作就完成了。
游戏以俯视视角展示你的警车行动。你可以用奖励金来升级车辆。如果你撞车、错误逮捕无辜者或未能完成任务指标，就会被记过。记过太多，游戏就结束了。"
d00953ac3a6dfe40e20e6092ecd9ed6a,Alien vs Predator (Europe) (Proto) (1993-12-17).zip,Alien vs Predator,异形大战铁血战士,Choose your weapon and brawl with the notorious warriors of the big screen! Commission the Colonial Marine and use your weapons and your wits to destroy the base--and survive. Be an Alien and use your voracious instincts to defend the hive and rescure your Queen. Or play a Predator and use your grisly arsenal to acquire the ultimate trophy...the skull of the Alien Queen.,选择你的武器，与大银幕上臭名昭著的战士们展开激战！指挥殖民陆战队，运用你的武器和智慧摧毁基地——并存活下来。化身为异形，凭借你贪婪的本能守护巢穴并营救你的女王。或者扮演铁血战士，使用你可怕的武器库来获取终极战利品……异形女王的头骨。
49ee7f09122cb659b3959fdff9a1dc4a,"Awesome Golf (USA, Europe).zip",Awesome Golf,精彩高尔夫,"Awesome Golf is as the name suggests, a golf simulator. There are 3 courses to play one in the U.K one in the U.S and the third one in Japan. The gameplay involves you lining up your shot via an overhead view which when set up switches to a third person view. Whilst in this view you need to swing the club and stop it at the desired power and then stop it on the correct symbol to get the perfect hit. If you don't get it right you will either miss the ball or hit the earth. There are 14 clubs at your disposal, 8 irons, 3 woods 2 wedges and a putter which are selected by moving the hand cursor over you Golf bag and selecting the desired club.",正如其名，《精彩高尔夫》是一款高尔夫模拟游戏。游戏中有三个球场可供游玩，分别位于英国、美国和日本。游戏玩法是，你先通过俯瞰视角来调整击球角度，设置好后视角会切换为第三人称视角。在这个视角下，你需要挥动球杆，并在达到理想的击球力度时停下，然后在正确的符号处停止，以实现完美击球。如果操作不当，你要么打空球，要么就会打到地面。你可以使用14种球杆，包括8支铁杆、3支木杆、2支挖起杆和1支推杆，通过将手形光标移到高尔夫球袋上并选择所需的球杆即可进行切换。
afcc2814e4d571afa389933368a58acc,"Baseball Heroes (USA, Europe).zip",Baseball Heroes,棒球英雄,"Hit, run, dive, jump, catch and throw. Pitch for the strikeout record and swing for the fences! Play baseball against the Lynx or take on a friend. Four different games with super graphics!",击球、奔跑、俯冲、跳跃、接球和投球。争取创造三振出局纪录，全力挥棒击球！与山猫队对战，或者和朋友来一场棒球对决。四款不同的游戏，拥有超棒的画面！
f3a97eff5ea9309407a12f86e52b81ef,"Basketbrawl (USA, Europe).zip",Basketbrawl,篮球大乱斗,"In a desperate attempt to stop inner-city gang wars, the city leaders organized a basketball league.  The league is scheduled to play on three courts: a street, a junkyard, and a rooftop.  The mayor figured that a friendly game of hoops would be a much more peaceful way to settle disputes. He was wrong.
You can choose 1-on-1 or 2-on-2 game modes. There are six characters to choose from (ten in Atari Lynx version); each with their own health, speed, and power attributes. Each player without the ball can jump to block a shot or punch there opponent to get the ball. There's also an option to perform a power throw on an opposing player. Players with the ball can shoot or pass. Power ups appear on the court at random instances. These power up one attribute for the player. For example, the lightning power up increases the player's speed. 
The referee does not call fouls, but does hurl knives at the players.","为了竭力阻止市中心的帮派战争，城市领导人组织了一场篮球联赛。联赛安排在三个场地进行：街道、垃圾场和屋顶。市长认为，一场友好的篮球比赛会是解决争端的更和平方式。但他错了。
你可以选择 1 对 1 或 2 对 2 的游戏模式。有六个角色可供选择（雅达利林克斯版有十个）；每个角色都有自己的生命值、速度和力量属性。每个没有球的玩家可以跳跃阻挡投篮，或者击打对手来抢球。还有一个选项可以对对手进行强力投掷。持球的玩家可以投篮或传球。道具会随机出现在球场上。这些道具会提升玩家的一项属性。例如，闪电道具会增加玩家的速度。
裁判不会判罚犯规，但会向玩家投掷飞刀。"
797003ea3feca18e7b54c1d19db51a36,"Batman Returns (USA, Europe).zip",Batman Returns,蝙蝠侠归来,"Atari themselves adapted the 1992 superhero sequel Batman Returns for their Lynx handheld as a side-scrolling beat'em'up.
Batman must move through four levels on his quest to stop the Penguin and Catwoman. Enemies trying to stop him include circus clowns on the streets, policemen (whom Catwoman put on his trail) on the roofs of Gotham City, and penguin commandos in the sewers and the Penguin's lair.
Batman can beat them up with his fists or destroy them using Batarangs and acid vials (which must be collected first). Several of the levels end in boss encounters with the two main villains, while in the last level, Batman must also save industrialist Max Shreck from the Penguin's wrath before finishing him off.","雅达利公司将1992年的超级英雄续集电影《蝙蝠侠归来》改编成了适用于其Lynx掌机的横版清版动作游戏。
蝙蝠侠必须闯过四个关卡，以阻止企鹅人和猫女的阴谋。试图阻止他的敌人包括街上的马戏团小丑、哥谭市屋顶上的警察（是猫女引他们来追踪蝙蝠侠的），以及下水道和企鹅人老巢里的企鹅突击队。
蝙蝠侠可以用拳头揍扁敌人，也可以用蝙蝠飞镖和酸液瓶（必须先收集到）消灭他们。有几个关卡的结尾是与两大反派首领的对决，而在最后一关，蝙蝠侠还必须在彻底击败企鹅人之前，将实业家马克斯·施雷克从企鹅人的怒火中解救出来。"
16a38aab2e11d61a9250218ffd4e8aeb,"Battle Wheels (USA, Europe).zip",BattleWheels,战斗轮,"In the year 2019, Humankind turned to more and more dangerous games for its entertainment. Fight in high-tech cars armed with missiles, machine guns, flame-throwers, and more through dead cities and desert wastelands; a sixteen arena battle royal! Fight as a team or go solo! Custom build your car from the ground up or buy one from the Bodyshop. You can even go in on foot! Fast paced 3-D six player action like you've never seen before! 
 
Welcome to the World of BattleWheels.","在2019年，人类为了娱乐而转向越来越危险的游戏。驾驶装备着导弹、机枪、火焰喷射器等武器的高科技汽车，在死寂的城市和沙漠荒原中战斗；这是一场十六人竞技场大逃杀！可以团队作战，也能独自出击！你可以从头开始自定义打造你的汽车，也能从汽车改装店购买一辆。你甚至可以徒步参战！前所未有的快节奏3D六人对战！

欢迎来到战斗轮的世界。"
fdcde9aaf4302bc191cef7dac851617b,"Battlezone 2000 (USA, Europe).zip",Battlezone 2000,战区2000,In this game you play the role of a tank commander who is fighting in a future war in the 21st century. The game is an update on the classic arcade game Battlezone and stays true to the original in terms of gameplay. The gameplay involves you driving round a landscape destroying enemy tanks and U.F.O.s  whilst trying not to run out of fuel and also not getting destroyed yourself though luckily there are fuel pick-ups and power-ups to collect. You can also use the credits earned for completing missions to upgrade your tank. There are also a few different tanks to choose from including the Rhino which is heavily armoured but runs out of fuel faster than the other tanks.,在这款游戏中，你将扮演一名坦克指挥官，参与21世纪的未来战争。该游戏是经典街机游戏《战区》的升级版，在玩法上忠实于原作。游戏玩法包括驾驶坦克在地图上行驶，摧毁敌方坦克和不明飞行物，同时要尽量避免燃料耗尽，也要防止自己被摧毁。幸运的是，游戏中有燃料补给点和道具可以收集。你还可以用完成任务获得的积分来升级你的坦克。此外，还有几种不同的坦克可供选择，其中包括“犀牛”坦克，它装甲厚重，但比其他坦克消耗燃料的速度更快。
fd714fbbfbab7bcf7b8d242865e504ac,"Bill & Ted's Excellent Adventure (USA, Europe).zip",Bill & Ted's Excellent Adventure,比尔和泰德的奇妙冒险,"The Lynx title based on the Keanu Reeves/Alex Winter film franchise actually takes place after the second film, Bill and Ted's Bogus Journey. Out for revenge after being humiliated by the high-school duo, Death kidnaps their ""medieval babe"" girlfriends from the first film, and drags them throughout history.  Luckily, the girls are able to leave behind pages of the band's latest song as a trail for Bill and Ted to follow.
Playing as either Bill or Ted (with a friend able to take control of the other character over ComLynx), the player must search historical periods in an overhead perspective and collect enough musical notes to open travel to a new area. Along the way, they can encounter historical figures who will offer assistance in return for a favor.  Bad guys do populate the levels, but can be pacified with a rippin' guitar solo.  If Bill or Ted are defeated, they simply reappear back at the last checkpoint.
Other items can be found and collected in an inventory. The Lynx title makes use of the series' interesting take on the time continuum, allowing the player to leave items for themselves in the past to collect and use in the future.  Likewise, if the player happens upon a sudden fortuitous item that ""they"" left, they must remember to go and leave the item in the past themselves to avoid creating a time paradox. This quirky view of time forms the basis of many of the game's puzzles.
A password system is constantly updated (viewable at the pause screen) to save the player's progress.","这款基于基努·里维斯和亚历克斯·温特主演电影系列改编的Lynx游戏，实际上发生在第二部电影《比尔和泰德畅游鬼门关》之后。死神因被这对高中好友羞辱而展开复仇，绑架了他们在第一部电影中结识的“中世纪美女”女友们，并将她们拖到了历史长河中。幸运的是，女孩们能够留下乐队最新歌曲的乐谱残页，为比尔和泰德指引追踪的线索。

玩家可以选择扮演比尔或泰德（还能通过ComLynx让朋友操控另一个角色），以俯瞰视角在各个历史时期中探索，收集足够的音符，从而开启前往新区域的通道。一路上，他们会遇到一些历史人物，这些人物会要求玩家帮个忙，作为回报，他们会提供相应的帮助。关卡中也有坏人，但可以用一段精彩的吉他独奏将他们安抚。如果比尔或泰德被击败，他们会在最后一个检查点重新出现。

玩家还可以找到其他物品并将其收入物品栏。这款Lynx游戏巧妙运用了该系列对时间连续性的独特设定，玩家可以将物品留在过去，以便在未来取用。同样，如果玩家偶然发现了“自己”留在过去的幸运物品，就必须记得回到过去把物品留下，以免造成时间悖论。这种对时间的奇特设定构成了游戏中许多谜题的基础。

游戏设有密码系统，会不断更新（在暂停界面可见），用于保存玩家的游戏进度。"
