ID,FILE,NAME,NAME_ZH,DESC,DESC_ZH
6e35c403cfba89f19da7fc668fd13b7d,[BIOS] WonderSwan Boot ROM (Japan) (En).zip,ZZZ(notgame):[BIOS] WonderSwan Boot ROM,ZZZ（非游戏）：[BIOS] 万代神奇天鹅掌机启动ROM,,
b5643bf43001362ee8413fd671164348,15 Game (World) (Ja) (WonderWitch) (Unl).zip,15 Game (World) (Ja) (WonderWitch) (Unl),15数字拼图（世界版）（日版）（WonderWitch）（未授权）,,
9d7d5b097d20b2f031ccf4818ec863b0,15 Puzzle (World) (WonderWitch) (Unl).zip,15 Puzzle (World) (WonderWitch) (Unl),15拼图（世界版）（WonderWitch）（未授权版）,,
f90549fca537dac319f104aab62b9105,15 Puzzle for WW (World) (Ja) (WonderWitch) (Unl).zip,15 Puzzle for WW (World) (Ja) (WonderWitch) (Unl),世界版15拼图（日语版）（WonderWitch）（未授权）,,
d08b5a9e16800c330460d5802dbb796b,3D Mapping Tool (World) (v1.10) (WonderWitch) (Program) (Unl).zip,3D Mapping Tool (World) (v1.10) (WonderWitch) (Program) (Unl),3D地图绘制工具（世界版）（v1.10）（神奇女巫）（程序）（未授权）,,
7a78128ba6720115488dbd1159417285,7 Days Left (World) (Ja) (v1.00) (WonderWitch) (WWGP2002) (Unl).zip,7 Days Left (World) (Ja) (v1.00) (WonderWitch) (WWGP2002) (Unl),还剩7天（世界版）（日版）（1.00版）（WonderWitch）（WWGP2002）（未授权）,,
17c002c0939cfc1b212721f95edfa5bc,7 Days Left (World) (Ja) (v1.01) (WonderWitch) (Unl).zip,7 Days Left (World) (Ja) (v1.01) (WonderWitch) (Unl),仅剩7天（世界版）（日版）（1.01版）（WonderWitch制作）（未授权）,,
7a14e7cf2bf3456edf15f42b8e696912,Anchorz Field (Japan).zip,Anchor Field,锚地战场,"Anchorz Field is a Strategy game, developed and published by Sammy Studios, which was released in Japan in 1999.",《锚地战场》是一款策略游戏，由萨米工作室开发并发行，于1999年在日本发售。
55dbfbe175ff6527d393b8ed5f5dbaf3,Armored Unit (Japan).zip,Armored Unit,装甲部队,"Armored Unit is a WonderSwan exclusive sci-fi turn-based strategy game. Main gameplay modes are story mode, trial mode, and duel mode. In the story mode the player starts by selecting an armored unit out of several available which vary in type (i.e. knight, ranger, seeker), weapons, and basic stats such as health and energy, after which one progresses through a series of stages backed up by a short dialogue cut-scenes between the stages. The basic movement occurs on a square map field where you can move your armored unit horizontally or vertically. You fight an opponent which is a hidden armored unit, visible only when you are adjacent to it or if you have a radar that can uncover it within a certain radius. Armed with weapons and special attacks based on the type of unit you have selected your goal is to defeat the enemy unit and progress to the next stage. You can fight at random map fields or use weapons of mass destruction to try and hit enemy unit without knowing where exactly it is located. After each stage, you are able to upgrade and edit your current weapon arsenal, or add new weapons and gadgets.",《装甲部队》是一款仅在万代神奇天鹅掌机（WonderSwan）上推出的科幻回合制策略游戏。主要游戏模式包括故事模式、试炼模式和决斗模式。在故事模式中，玩家首先要从多个不同类型（如骑士、游骑兵、探索者）、配备不同武器且基础属性（如生命值和能量值）各异的装甲部队中选择一支，随后通过一系列关卡，关卡之间会穿插简短的对话过场动画。游戏的基本移动是在方形地图上进行的，玩家可以让装甲部队水平或垂直移动。玩家要对抗的敌方装甲部队处于隐藏状态，只有当你靠近它，或者你拥有能在一定半径内探测到它的雷达时，它才会显现。根据所选部队的类型，玩家可以使用武器和特殊攻击，目标是击败敌方部队并进入下一关卡。玩家可以在随机地图区域展开战斗，也可以使用大规模杀伤性武器，在不知道敌方部队确切位置的情况下尝试击中它。每通过一关，玩家都可以升级和编辑当前的武器库，或者添加新的武器和装备。
5b7ae2f6b167bde0024125a552cd9bbc,Bakusou Dekotora Densetsu for WonderSwan (Japan).zip,Bakusou Dekotora Densetsu,爆走デコトラ伝説（可音译为：爆走装饰卡车传说）,"You are a young man who lives in Japan and likes driving trucks. There is a competition of truck drivers who deliver goods all across the country. Willing to impress your girlfriend Yukie, you decide to participate in the races and to win the title of the best trucker in Japan.
Dekotora is short for ""decorated truck"", and this racing game consists not only of driving your truck through the highway, trying to be faster than your rivals, but also of buying various stuff for your truck and decorating it. Depending on your results in the races, you can buy truck parts and customize it the way you wish.","你是一个居住在日本、喜欢开卡车的年轻人。有一场面向全国送货卡车司机的比赛。为了给你的女友雪绘留下深刻印象，你决定参加比赛，赢得日本最佳卡车司机的称号。
“デコトラ（Dekotora）”是“装饰卡车”的简称，这款赛车游戏不仅包括驾驶你的卡车在高速公路上飞驰，试图比对手更快，还包括为你的卡车购买各种物品并进行装饰。根据你在比赛中的成绩，你可以购买卡车部件，并按照自己的意愿对其进行定制。"
d7e4a3bf1fdff69abc1b67cd28da8d22,Ball and Block (World) (WonderWitch) (Unl).zip,Ball and Block (World) (WonderWitch) (Unl),球与方块（世界版）（WonderWitch）（未授权）,,
e2e341ee81228bd648cdb5a4330d20d6,Balloon (World) (WonderWitch) (Unl).zip,Balloon (World) (WonderWitch) (Unl),气球（世界）（神奇女巫）（未发行）,,
0629e5084137773b550529bbf89dcd54,Battle Mosquito (World) (Ja) (WonderWitch) (Unl).zip,Battle Mosquito (World) (Ja) (WonderWitch) (Unl),战斗蚊子,,
10bac8480c3bbac2c69033a0891711a0,beatmania for WonderSwan (Japan).zip,Beatmania,太鼓达人（注：Beatmania一般指太鼓达人系列）,"This is a portable version of beatmania and as such it contains everything one could hope for in such a game, a series of music track (with reproduced vocals!), a lot of buttons to press, and a lot of vinyl to scratch.
After you select the music you want to play you'll have a vertical scroll which will indicate when you should hit one of the left directional buttons along with the music. The game also indicates when you should 'scratch' which should be be familiar to anyone who has played a beatmania arcade game. This refers to the scratching of a record, one might think that the WonderSwan is ill-equiped for such a for of input, well think again! beatmania for WonderSwan included in its packaging a miniature record that could be fitted over the right directional keys to  make scratching more realistic.
As you finish songs you'll on lock more difficult and interesting(?) tunes. The game plays vertically.","这是《太鼓达人》的便携版，因此它包含了此类游戏中人们所期望的一切元素：一系列音乐曲目（还有复刻的人声！）、大量待按的按键，以及大量可模拟刮擦的黑胶唱片效果。

在你选择想要演奏的音乐后，会出现一个垂直滚动条，它会提示你何时应配合音乐按下左侧的某个方向键。游戏还会提示你何时进行“刮擦”操作，玩过《太鼓达人》街机游戏的人对这个操作应该都很熟悉。这里的“刮擦”指的是黑胶唱片的刮擦音效。你可能会认为万代的WonderSwan掌机不太适合进行这种输入操作，那就再想一想吧！《万代WonderSwan版太鼓达人》的包装内附带了一个微型唱片，它可以套在右侧方向键上，让刮擦操作更具真实感。

当你完成歌曲演奏后，就能解锁更多难度更高且有趣（？）的曲目。该游戏以纵向画面进行游玩。"
