ID,FILE,NAME,NAME_ZH,DESC,DESC_ZH
fa0ee9d20b6c0333df9f82480c8223c7,3D Othello (World) (Ja) (WonderWitch) (Unl).zip,3D Othello,3D黑白棋,,
199926b0dd9c6d377594462ed97df4b8,4 Koma TV (World) (Ja) (WonderWitch) (Unl).zip,4 Koma TV,四格漫画电视,,
73e49aa78e73abe40c1ecedf2bdc4b2c,Alchemist Marie & Elie - Futari no Atelier (Japan) (Demo) (WonderWitch).zip,Alchemist Marie & Elie : Futari no Atelier,炼金术士玛丽与艾莉：两人的工作室,"In the city of Salburg, there has always been a long tradition of alchemy - a magical science that dealt with combining various materials and turning metals into gold. You play as two young girls, Marlone and Elvira, who have to study at the Academy of alchemy, make powerful items, and prove to their masters they are worthy to be real alchemists.

The game is a combination of role-playing and simulation. You have to read books and talk to people in order to learn more about items, and then to buy these items or to to find them somewhere. You must combine powerful items in order to impress your teachers. You also develop your characters in a standard RPG fashion. You can equip weapons and armor on them, and fight random enemies in wilderness areas. You gain levels and become stronger the more enemies you fight. The battles are automatic, and you can only assign a general strategy to your characters.","在萨尔堡市，炼金术一直有着悠久的传统——这是一门神奇的科学，涉及将各种材料混合并将金属转化为黄金。你将扮演两位年轻女孩，玛洛妮和埃尔薇拉，她们必须在炼金术学院学习，制作强大的物品，并向她们的导师证明自己有资格成为真正的炼金术士。

这款游戏结合了角色扮演和模拟元素。你必须阅读书籍并与他人交谈，以了解更多关于物品的信息，然后购买这些物品或在某处找到它们。你必须制作出强大的物品，才能给你的老师留下深刻印象。你还可以按照标准的角色扮演游戏方式培养你的角色。你可以为她们装备武器和盔甲，并在野外区域与随机出现的敌人战斗。你战斗的敌人越多，就能获得更多等级并变得更强。战斗是自动进行的，你只能为你的角色指定大致的策略。"
f6571785e16be7d17bbba44119996a2c,Another Heaven - Memory of those Days (Japan).zip,Another Heaven : Memory of Those Days,另一个天堂：那些日子的回忆,"Another Heaven: Memory of Those Days is an Adventure game, developed and published by Omega Micott, which was released in Japan in 2000.",《另一个天堂：那些日子的回忆》是一款冒险游戏，由Omega Micott开发并发行，于2000年在日本发售。
1bb43a969d6b3131f1b8e96d65d54984,Arc the Lad - Kishin Fukkatsu (Japan).zip,Arc the Lad : Kijin Fukkatsu,弧光之月：鬼神复活,"Two generations ago, there was a great battle between the humans and the machines. Led by their evil god, the machines were eventually able to win the battle and to take control over the world. You play the role of Elc, the hero of  Arc the Lad 2. As always, Elc is a freelance mercenary who gets assignments from his guild. He encounters Finia, a girl who belonged to a resistance group and whose mother was killed by the machines. With the help of other friends, the heroes must save the humanity and restore the world to normal.

This is a side-story in Arc the Lad series, set in a futuristic environment. As in the classic Arc the Lad games, the entire dungeon navigation is perceived as a series of continuous battles. You move your heroes in turn-based mode, and enemies use their turn to perform their moves. You can attack once an enemy is on a square near you, and also use a variety of special techniques.","两代人之前，人类与机械之间爆发了一场大战。在邪恶之神的带领下，机械最终赢得了这场战争，并掌控了世界。你将扮演《弧光之月2》的主角埃尔克。和往常一样，埃尔克是一名自由雇佣兵，从公会接受任务。他遇到了菲妮亚，一个隶属于抵抗组织的女孩，她的母亲被机械杀害。在其他朋友的帮助下，英雄们必须拯救人类，让世界恢复正常。

这是《弧光之月》系列的一部外传，故事背景设定在未来世界。和经典的《弧光之月》游戏一样，整个地下城探索过程被视为一系列连续的战斗。你以回合制模式操控英雄行动，敌人也会利用自己的回合进行行动。当敌人出现在你附近的方格时，你可以发起攻击，还能使用各种特殊技能。"
e2fbe8fae55118efe681fae08126a971,Artisan (World) (WonderWitch) (Unl).zip,Artisan,工匠,,
b2be7f42775552dd6df46778baad45c7,Bio Worms (World) (WonderWitch) (Unl).zip,Bio Worms,生化蠕虫,,
df9a67268a6c265bb86d20a0c1b92533,BloodStorm (World) (WonderWitch) (Unl).zip,BloodStorm,血雨风暴,,
4468d1db45cd7963de61e3bdb4d84ca6,Blue Wing Blitz (Japan).zip,Blue Wing Blitz,蓝翼闪电战,"There are six nations living in the world of floating islands. The most powerful one is the Ordia Empire, possessing the best aircrafts in the world. But its leaders were hungry for even more power, and planned to invade and to occupy the other five nations. The other nations tried to maintain diplomatic relationship with the Empire as long as possible. But one of those countries, the Esk Republic, decided to send a special strike team of skillful pilots, attempting to initiate a secret rebellion against the Empire. A young pilot named Keid, guided by his senior partner, the girl Payer, is the one who was chosen for this mission.",在浮空岛的世界里，生活着六个国家。其中最强大的是奥尔迪亚帝国，它拥有世界上最先进的飞行器。然而，帝国的领导者们贪得无厌，妄图进一步扩张势力，于是计划入侵并占领其他五个国家。其他国家都尽可能地与帝国维持着外交关系。但其中一个国家，埃斯克共和国，决定派遣一支由技艺精湛的飞行员组成的特别突击队，试图对帝国发动一场秘密反抗。一位名叫基德的年轻飞行员，在他的搭档、女孩佩尔的带领下，被选中执行这项任务。
4372e3bec2fe9d5a703c4fea237159ad,Bury (World) (WonderWitch) (Unl).zip,Bury,埋葬,,
